name	assetId	health	rewardXp	resetSec	rewardMin	rewardMax	hasDebris	isForage	bladeId	vulnAllMelee	vulnFists	drops	label
Bush_Mauve	15	1	0	1000	0	0	0	1	0	0	0	115:100	Bush Mauve
Bush_Mauve_Snow	59	1	0	1000	0	0	0	1	0	0	0	115:100	Bush Mauve Snow
Bush_Russet	16	1	0	1000	0	0	0	1	0	0	0	273:100	Bush Russet
Bush_Russet_Snow	60	1	0	1000	0	0	0	1	0	0	0	273:100	Bush Russet Snow
Bush_Teal	17	1	0	1000	0	0	0	1	0	0	0	274:100	Bush Teal
Bush_Teal_Snow	61	1	0	1000	0	0	0	1	0	0	0	274:100	Bush Teal Snow
Bush_Vermillion	18	1	0	1000	0	0	0	1	0	0	0	275:100	Bush Vermillion
Bush_Vermillion_Snow	62	1	0	1000	0	0	0	1	0	0	0	275:100	Bush Vermillion Snow
Cane_00	50	400	2	450	6	8	0	0	3	0	0	1694:1	Cane #1
Chicken_00	53	1	0	300	0	0	0	1	0	0	0	1708:1	Chicken #1
Clay_0	65	1400	6	1800	2	5	0	0	1	0	0	1926:100	Clay #1
Clay_1	66	1400	6	1800	2	5	0	0	1	0	0	1926:100	Clay #2
Clay_2	67	1400	6	1000	2	5	0	0	1	0	0	1926:100	Clay #3
Clay_3	68	1400	6	1000	2	5	0	0	1	0	0	1926:100	Clay #4 (Legacy)
Clay_4	69	1400	6	1000	2	5	0	0	1	0	0	1926:100	Clay #5 (Legacy)
Dead_0	19	1000	5	600	6	9	0	0	0	0	0	39:120|40:79|1159:1	Dead #1
Dead_1	20	1000	5	600	6	9	0	0	0	0	0	39:120|40:79|1159:1	Dead #2
Dead_2	35	1000	5	600	6	9	0	0	0	0	0	39:120|40:79|1159:1	Russia Dead #1
Dead_3	36	1000	5	600	6	9	0	0	0	0	0	39:120|40:79|1159:1	Russia Dead #2
Dead_4	40	1000	5	600	6	9	0	0	0	0	0	39:120|40:79|1159:1	Maple Burned #1
Dead_5	41	1000	5	600	6	9	0	0	0	0	0	39:120|40:79|1159:1	Maple Burned #2
Ice_00	52	100	4	450	1	1	0	0	2	0	0	1707:1	Ice #1
Maple_0	1	1000	5	600	6	9	0	0	0	0	0	39:120|40:79|1159:1	Maple #1
Maple_1	6	1000	5	600	6	9	0	0	0	0	0	39:120|40:79|1159:1	Maple #2
Maple_2	63	1000	5	600	6	9	0	0	0	0	0	39:120|40:79|1159:1	Maple #3
Maple_3	64	1000	5	600	6	9	0	0	0	0	0	39:120|40:79|1159:1	Maple #4
Metal_0	21	1200	6	1000	3	7	0	0	2	0	0	67:100	Metal #1
Metal_1	22	1200	6	1000	3	7	0	0	2	0	0	67:100	Russia Metal #1
Metal_2	39	1200	6	1000	3	7	0	0	2	0	0	67:100	PEI Metal #1
Mushroom_Brown_0	78	1	0	1000	0	0	0	1	0	0	0	1932:100	Mushroom Brown #1
Mushroom_Red_0	79	1	0	1000	0	0	0	1	0	0	0	1934:100	Mushroom Red #1
Ornament_0	9	1200	6	750	0	0	0	0	0	0	0	41:60|42:40	Ornament #1
Ornament_0_XMAS	49	1200	6	750	0	0	0	0	0	0	0	41:60|42:40	Ornament #1
Pine_0	2	1200	6	750	5	8	0	0	0	0	0	41:60|42:40	Pine #1
Pine_1	5	1200	6	750	5	8	0	0	0	0	0	41:60|42:40	Pine #2
Pine_2	10	1200	6	750	5	8	0	0	0	0	0	41:60|42:40	Pine #3
Pine_3	11	1200	6	750	5	8	0	0	0	0	0	41:60|42:40	Pine #4
Pine_4	29	1200	6	750	5	8	0	0	0	0	0	41:60|42:40	Russia Pine #1
Pine_5	30	1200	6	750	5	8	0	0	0	0	0	41:60|42:40	Russia Pine #2
Pine_6	31	1200	6	750	5	8	0	0	0	0	0	41:60|42:40	Russia Pine #3
Pine_7	44	1200	6	750	5	8	0	0	0	0	0	41:60|42:40	Pine #8
Pine_8	45	1200	6	750	5	8	0	0	0	0	0	41:60|42:40	Pine #9
Pine_9	46	1200	6	750	5	8	0	0	0	0	0	41:60|42:40	Pine #10
Snow_Pile_00	51	100	2	120	1	1	0	0	4	0	0	1132:100	Snow Pile #1
