id	type	folder	width	height	size_x	size_y
188	Mask	Bandana_Orange	0	0	1	1
189	Mask	Bandana_Purple	0	0	1	1
190	Mask	Bandana_White	0	0	1	1
191	Mask	Bandana_Yellow	0	0	1	1
192	Hat	Toque_Black	0	0	2	2
193	Hat	Toque_Blue	0	0	2	2
194	Hat	Toque_Green	0	0	2	2
195	Hat	Toque_Orange	0	0	2	2
196	Hat	Toque_Purple	0	0	2	2
197	Hat	Toque_Red	0	0	2	2
198	Hat	Toque_White	0	0	2	2
199	Hat	Toque_Yellow	0	0	2	2
200	Backpack	Daypack_Black	7	4	2	2
201	Backpack	Daypack_Blue	7	4	2	2
202	Backpack	Daypack_Green	7	4	2	2
203	Backpack	Daypack_Orange	7	4	2	2
204	Backpack	Daypack_Purple	7	4	2	2
205	Backpack	Daypack_White	7	4	2	2
206	Backpack	Daypack_Yellow	7	4	2	2
207	Pants	Jeans_Outfit	5	3	2	2
208	Pants	Jeans_Cowboy	5	3	2	2
209	Pants	Cargo_Pants	6	3	2	2
211	Shirt	Plaid_Shirt	5	3	3	2
212	Pants	Khaki_Pants	4	3	2	2
213	Pants	Corduroy_Pants	4	3	2	2
214	Pants	Trouser_Pants	4	3	2	2
215	Vest	Sweatervest_Black	5	3	2	2
216	Vest	Sweatervest_Blue	5	3	2	2
217	Vest	Sweatervest_Green	5	3	2	2
218	Vest	Sweatervest_Orange	5	3	2	2
219	Vest	Sweatervest_Purple	5	3	2	2
220	Vest	Sweatervest_Red	5	3	2	2
221	Vest	Sweatervest_White	5	3	2	2
222	Vest	Sweatervest_Yellow	5	3	2	2
223	Shirt	Police_Top	6	3	3	2
224	Pants	Police_Bottom	5	3	2	2
225	Hat	Police_Cap	0	0	2	2
226	Pants	Khaki_Shorts	5	2	2	2
227	Pants	Cargo_Shorts	5	3	2	2
228	Pants	Corduroy_Shorts	5	2	2	2
229	Pants	Trouser_Shorts	5	2	2	2
230	Shirt	Chef_Top	5	3	3	2
231	Pants	Chef_Bottom	5	2	2	2
232	Shirt	Construction_Top	4	3	3	2
233	Shirt	Firefighter_Top	5	3	3	2
234	Pants	Firefighter_Bottom	5	2	2	2
235	Shirt	Ghillie_Top	4	2	3	2
236	Pants	Ghillie_Bottom	4	2	2	2
237	Hat	Ghillie_Hood	0	0	2	2
238	Vest	Ghillie_Vest	4	3	2	2
239	Hat	Chef_Hat	0	0	2	2
240	Hat	Construction_Helmet	0	0	2	2
241	Hat	Firefighter_Helmet	0	0	2	2
242	Shirt	Farmer_Top	5	3	3	2
243	Pants	Farmer_Bottom	4	3	2	2
244	Hat	Farmer_Hat	0	0	2	2
245	Backpack	Travelpack_Black	5	7	2	2
246	Backpack	Travelpack_Blue	5	7	2	2
247	Backpack	Travelpack_Green	5	7	2	2
248	Backpack	Travelpack_Orange	5	7	2	2
249	Backpack	Travelpack_Purple	5	7	2	2
250	Backpack	Travelpack_Red	5	7	2	2
251	Backpack	Travelpack_White	5	7	2	2
252	Backpack	Travelpack_Yellow	5	7	2	2
253	Backpack	Alicepack	8	7	2	2
278	Hat	Festive_Hat	0	0	2	2
279	Shirt	Festive_Top	0	0	3	2
280	Pants	Festive_Bottom	0	0	2	2
303	Shirt	Prisoner_Top	3	2	3	2
304	Pants	Prisoner_Bottom	3	2	2	2
305	Pants	RCMP_Bottom	5	3	2	2
306	Shirt	RCMP_Top	6	3	3	2
307	Shirt	Military_Top_Forest	6	3	3	2
308	Pants	Military_Bottom_Forest	4	3	2	2
309	Hat	Military_Helmet_Forest	0	0	2	2
310	Vest	Military_Vest_Forest	5	4	2	2
311	Shirt	Medic_Top	6	3	3	2
312	Pants	Medic_Bottom	4	3	2	2
313	Hat	RCMP_Hat	0	0	2	2
314	Shirt	Grocer_Top	5	3	3	2
315	Pants	Grocer_Bottom	4	3	2	2
334	Glasses	Nightvision_Military	0	0	2	1
405	Shirt	Mechanic_Top	5	3	3	2
406	Pants	Mechanic_Bottom	5	2	2	2
407	Shirt	Engineer_Top	5	3	3	2
408	Pants	Engineer_Bottom	4	3	2	2
409	Glasses	Aviators_Pilot	0	0	2	1
410	Vest	Poncho_Black	4	4	2	2
411	Vest	Poncho_Blue	4	4	2	2
412	Vest	Poncho_Green	4	4	2	2
413	Vest	Poncho_Orange	4	4	2	2
414	Vest	Poncho_Purple	4	4	2	2
415	Vest	Poncho_Red	4	4	2	2
416	Vest	Poncho_White	4	4	2	2
417	Vest	Poncho_Yellow	4	4	2	2
418	Mask	Headphones	0	0	2	1
419	Shirt	Jacket_Pilot	0	0	3	2
420	Shirt	Jacket_Biker	0	0	3	2
421	Shirt	Suit_Top	4	2	3	2
422	Pants	Suit_Bottom	3	2	2	2
423	Hat	Engineer_Hat	0	0	2	2
424	Hat	Fedora	0	0	2	2
425	Hat	Cap_Black	0	0	2	2
426	Hat	Cap_Blue	0	0	2	2
427	Hat	Cap_Green	0	0	2	2
428	Hat	Cap_Orange	0	0	2	2
429	Hat	Cap_Purple	0	0	2	2
430	Hat	Cap_Red	0	0	2	2
431	Hat	Cap_White	0	0	2	2
432	Hat	Cap_Yellow	0	0	2	2
433	Hat	Beret_Forest	0	0	2	2
434	Mask	Balaclava_Black	0	0	2	2
435	Mask	Balaclava_Blue	0	0	2	2
436	Mask	Balaclava_Green	0	0	2	2
437	Mask	Balaclava_Orange	0	0	2	2
438	Mask	Balaclava_Purple	0	0	2	2
439	Mask	Balaclava_Red	0	0	2	2
440	Mask	Balaclava_White	0	0	2	2
441	Mask	Balaclava_Yellow	0	0	2	2
491	Glasses	Aviators_Gold	0	0	2	1
492	Glasses	3D	0	0	2	1
495	Hat	Fez	0	0	2	2
496	Hat	Crown	0	0	2	2
497	Hat	Obi	0	0	2	2
498	Mask	Antlers	0	0	2	1
499	Hat	Paper	0	0	2	2
500	Hat	Headress	0	0	2	2
501	Hat	Viking	0	0	2	2
502	Glasses	Eyepatch	0	0	2	1
509	Hat	Fishing_Hat	0	0	2	2
510	Shirt	Fishing_Top	5	3	3	2
511	Pants	Fishing_Bottom	4	3	2	2
517	Shirt	Leather_Top	5	3	3	2
518	Pants	Leather_Bottom	5	3	2	2
522	Shirt	Tee_Twitch	0	0	3	2
523	Shirt	Tee_Spark_Emission	0	0	3	2
524	Shirt	Tee_Blaze_Emission	0	0	3	2
525	Shirt	Tee_Spark	0	0	3	2
526	Shirt	Tee_Blaze	0	0	3	2
528	Shirt	Tuxedo_Top_White	0	0	3	2
529	Pants	Tuxedo_Bottom_White	0	0	2	2
530	Hat	Fedora_White	0	0	2	2
531	Vest	Rose	0	0	1	1
532	Vest	Tie_Rainbow	0	0	1	2
533	Vest	Tie_Rainbow_Emission	0	0	1	2
534	Mask	Bowtie_Rainbow	0	0	1	1
535	Mask	Bowtie_Rainbow_Emission	0	0	1	1
536	Shirt	Shirt_Turtle	0	0	3	2
537	Shirt	Shirt_Banana	0	0	3	2
538	Pants	Jeans_Designer_Pro	0	0	2	2
539	Shirt	Shirt_Wave	0	0	3	2
540	Shirt	Shirt_Fish	0	0	3	2
541	Shirt	Shirt_Heart	0	0	3	2
542	Shirt	Shirt_Snow	0	0	3	2
543	Shirt	Shirt_Tornado	0	0	3	2
544	Shirt	Shirt_Flower	0	0	3	2
545	Hat	Pirate	0	0	3	2
546	Shirt	Pirate_Top	0	0	3	2
547	Pants	Pirate_Bottom	0	0	2	2
548	Pants	Jeans_Designer	5	3	2	2
549	Pants	Jeans_Outfit_Pro	0	0	2	2
550	Pants	Jeans_Work_Pro	0	0	2	2
551	Pants	Trouser_Pants_Pro	0	0	2	2
552	Vest	Tie_Gold	0	0	1	2
553	Shirt	Suit_Top_Gold	0	0	3	2
554	Pants	Suit_Bottom_Gold	0	0	2	2
555	Hat	Tophat_Gold	0	0	2	2
556	Pants	Corduroy_Pants_Pro	0	0	2	2
557	Pants	Khaki_Pants_Pro	0	0	2	2
558	Shirt	Astronaut_Top	0	0	3	2
559	Pants	Astronaut_Bottom	0	0	2	2
560	Hat	Astronaut	0	0	2	2
561	Hat	Magic_Hat	0	0	2	2
562	Backpack	Magic_Cape	0	0	2	2
563	Shirt	Magic_Top	0	0	3	2
564	Pants	Magic_Bottom	0	0	2	2
565	Pants	Corduroy_Shorts_Pro	0	0	2	2
566	Pants	Khaki_Shorts_Pro	0	0	2	2
567	Pants	Trouser_Shorts_Pro	0	0	2	2
568	Glasses	Shades	0	0	2	1
569	Hat	Ushanka	0	0	2	2
570	Mask	Earbuds	0	0	1	1
579	Hat	Pumpkin	0	0	2	2
580	Backpack	Halloween_Cape	0	0	2	2
581	Shirt	Halloween_Top	0	0	3	2
582	Pants	Halloween_Bottom	0	0	2	2
584	Hat	Mummy	0	0	2	2
585	Shirt	Mummy_Top	0	0	3	2
586	Pants	Mummy_Bottom	0	0	2	2
587	Shirt	Skeleton_Top	0	0	3	2
588	Pants	Skeleton_Bottom	0	0	2	2
589	Mask	Bandana_Web	0	0	1	1
591	Mask	Snowman	0	0	2	2
592	Shirt	Snowman_Top	0	0	3	2
593	Pants	Snowman_Bottom	0	0	2	2
594	Glasses	Carrot	0	0	2	1
595	Glasses	Reindeer	0	0	2	1
596	Shirt	Holiday_Sweater	0	0	3	2
597	Vest	Holiday_Scarf	0	0	2	2
599	Hat	Sombrero	0	0	2	2
600	Hat	Conical	0	0	2	2
601	Hat	Jester	0	0	2	2
602	Hat	News	0	0	2	2
603	Backpack	Windup	0	0	2	2
604	Mask	Bucket	0	0	2	2
605	Hat	Detective	0	0	2	2
606	Vest	Parrot	0	0	1	1
607	Shirt	Detective_Top	0	0	3	2
608	Pants	Detective_Bottom	0	0	2	2
609	Hat	Educated	0	0	2	2
610	Shirt	Tee_Admin	0	0	3	2
611	Hat	Swashbuckler_Hat	0	0	2	2
612	Pants	Swashbuckler_Bottom	0	0	2	2
613	Shirt	Swashbuckler_Top	0	0	3	2
615	Glasses	Cyborg	0	0	1	1
616	Hat	Plague_Hat	0	0	2	2
617	Mask	Plague_Mask	0	0	2	2
619	Shirt	Plague_Top	0	0	3	2
620	Pants	Plague_Bottom	0	0	2	2
621	Hat	Queen_Guard_Hat	0	0	2	2
622	Shirt	Queen_Guard_Top	0	0	3	2
623	Pants	Queen_Guard_Bottom	0	0	2	2
624	Shirt	Jersey_America	0	0	3	2
625	Shirt	Jersey_Australia	0	0	3	2
626	Shirt	Jersey_Brazil	0	0	3	2
627	Shirt	Jersey_Canada	0	0	3	2
628	Shirt	Jersey_China	0	0	3	2
629	Shirt	Jersey_France	0	0	3	2
630	Shirt	Jersey_Germany	0	0	3	2
631	Shirt	Jersey_Kingdom	0	0	3	2
632	Shirt	Jersey_Poland	0	0	3	2
633	Shirt	Jersey_Russia	0	0	3	2
634	Shirt	Jersey_Sweden	0	0	3	2
635	Shirt	Jersey_Thailand	0	0	3	2
636	Shirt	Jersey_Norway	0	0	3	2
637	Shirt	Jersey_Turkey	0	0	3	2
638	Shirt	Jersey_Denmark	0	0	3	2
639	Glasses	HMD	0	0	2	1
640	Shirt	Tee_Boom	0	0	3	2
641	Shirt	Jersey_Netherlands	0	0	3	2
642	Shirt	Jersey_Ukraine	0	0	3	2
643	Shirt	Jersey_Argentina	0	0	3	2
644	Shirt	Jersey_Philippines	0	0	3	2
645	Shirt	Jersey_Chile	0	0	3	2
646	Shirt	Jersey_Spain	0	0	3	2
647	Shirt	Jersey_Italy	0	0	3	2
648	Shirt	Jersey_Japan	0	0	3	2
649	Shirt	Jersey_Korea	0	0	3	2
650	Shirt	Jersey_Romania	0	0	3	2
651	Shirt	Jersey_Mexico	0	0	3	2
652	Shirt	Jersey_Czech	0	0	3	2
653	Shirt	Jersey_Indonesia	0	0	3	2
654	Shirt	Jersey_Portugal	0	0	3	2
655	Shirt	Jersey_Finland	0	0	3	2
656	Shirt	Jersey_Pirate	0	0	3	2
657	Hat	Spartan_Hat	0	0	1	2
658	Vest	Spartan_Vest	0	0	2	2
659	Shirt	Spartan_Top	0	0	3	2
660	Pants	Spartan_Bottom	0	0	2	2
662	Vest	Epaulettes	0	0	2	1
663	Shirt	Hoodie_Nelson	0	0	3	2
664	Shirt	Plaid_Blue_Dark_Shirt	0	0	3	2
665	Shirt	Plaid_Blue_Light_Shirt	0	0	3	2
666	Shirt	Plaid_Green_Shirt	0	0	3	2
667	Shirt	Plaid_Orange_Shirt	0	0	3	2
668	Shirt	Plaid_Purple_Dark_Shirt	0	0	3	2
669	Shirt	Plaid_Purple_Light_Shirt	0	0	3	2
670	Shirt	Plaid_Red_Shirt	0	0	3	2
671	Shirt	Hoodie_Bulldozer	0	0	3	2
672	Shirt	Hoodie_Elephant	0	0	3	2
673	Shirt	Hoodie_Feather	0	0	3	2
674	Shirt	Hoodie_Hourglass	0	0	3	2
675	Shirt	Hoodie_Lucky	0	0	3	2
676	Shirt	Hoodie_Power	0	0	3	2
677	Shirt	Hoodie_Squid	0	0	3	2
678	Shirt	Hoodie_Yield	0	0	3	2
679	Pants	Rocket_Pants	0	0	2	2
680	Glasses	Bandito	0	0	2	1
681	Vest	Snake	0	0	1	1
682	Hat	Navy	0	0	3	2
683	Shirt	Navy_Top	0	0	3	2
684	Pants	Navy_Bottom	0	0	2	2
685	Hat	Bowler	0	0	2	2
686	Hat	Explorer_Hat	0	0	2	2
687	Shirt	Explorer_Top	0	0	3	2
688	Pants	Explorer_Bottom	0	0	2	2
689	Vest	Sheriff	0	0	1	1
690	Hat	Sneak	0	0	2	2
691	Shirt	Sneak_Top	0	0	3	2
692	Pants	Sneak_Bottom	0	0	2	2
694	Hat	Robot	0	0	2	2
695	Shirt	Robot_Top	0	0	3	2
696	Pants	Robot_Bottom	0	0	2	2
697	Shirt	Shirt_Blueberry	0	0	3	2
699	Hat	Anniversary_0_Rainbow	0	0	2	2
700	Hat	Anniversary_1_Rainbow	0	0	2	2
701	Hat	Anniversary_0_Blue	0	0	2	2
702	Hat	Anniversary_0_Green	0	0	2	2
703	Hat	Anniversary_0_Orange	0	0	2	2
704	Hat	Anniversary_0_Purple	0	0	2	2
705	Hat	Anniversary_0_Red	0	0	2	2
706	Hat	Anniversary_0_Yellow	0	0	2	2
707	Hat	Anniversary_1_Blue	0	0	2	2
708	Hat	Anniversary_1_Green	0	0	2	2
709	Hat	Anniversary_1_Orange	0	0	2	2
710	Hat	Anniversary_1_Purple	0	0	2	2
711	Hat	Anniversary_1_Red	0	0	2	2
712	Hat	Anniversary_1_Yellow	0	0	2	2
713	Hat	Anniversary_0_Silver	0	0	2	2
714	Hat	Anniversary_1_Silver	0	0	2	2
715	Hat	Anniversary_0_Gold	0	0	2	2
716	Hat	Anniversary_1_Gold	0	0	2	2
717	Shirt	Samurai_Top	0	0	3	2
718	Pants	Samurai_Bottom	0	0	2	2
719	Hat	Samurai_Hat	0	0	2	2
720	Vest	Samurai_Vest	0	0	2	2
721	Mask	Samurai_Mask	0	0	2	2
722	Vest	Chain	0	0	2	2
723	Hat	Ushanka_Vintage	0	0	2	2
724	Shirt	Trenchcoat_Vintage_Top	0	0	3	2
727	Glasses	Medic_Glasses	0	0	2	1
728	Hat	Beret_Bug_Report	0	0	2	2
729	Mask	Bolt	0	0	2	1
730	Glasses	Scientist_Mad_Glasses	0	0	2	1
731	Shirt	Scientist_Mad_Top	0	0	3	2
732	Backpack	Vampire_Cape	0	0	2	2
733	Vest	Vampire_Cowl	0	0	2	2
734	Shirt	Vampire_Top	0	0	3	2
735	Shirt	Necromancer_Top	0	0	3	2
736	Pants	Necromancer_Bottom	0	0	2	2
737	Mask	Necromancer_Mask	0	0	2	2
738	Hat	Beret_Orange	0	0	2	2
739	Hat	Beret_White	0	0	2	2
740	Mask	BattlEye_Mask	0	0	2	2
741	Hat	Elf_Hat	0	0	2	2
742	Shirt	Elf_Top	0	0	3	2
743	Shirt	Gingerbread_Top	0	0	3	2
744	Pants	Gingerbread_Bottom	0	0	2	2
745	Mask	Gingerbread_Mask	0	0	2	2
746	Shirt	Toy_Soldier_Top	0	0	3	2
747	Pants	Toy_Soldier_Bottom	0	0	2	2
748	Hat	Toy_Soldier_Hat	0	0	2	2
749	Shirt	Nutcracker_Top	0	0	3	2
750	Pants	Nutcracker_Bottom	0	0	2	2
751	Hat	Nutcracker_Hat	0	0	2	2
754	Shirt	MA_WC_Top	0	0	3	2
755	Pants	MA_WC_Bottom	0	0	2	2
756	Vest	Kukui_Nuts	0	0	2	2
757	Pants	Grass_Skirt	0	0	2	2
758	Glasses	Shuttershades	0	0	2	1
759	Mask	Tiki_Angry	0	0	2	2
760	Mask	Tiki_Happy	0	0	2	2
761	Glasses	Rose_Tinted	0	0	2	1
762	Hat	Lei	0	0	2	1
763	Hat	Tourist_Hat_Camo	0	0	2	2
764	Hat	Pineapple	0	0	2	2
765	Mask	Ear_Flower	0	0	1	1
766	Vest	Garland	0	0	2	2
768	Shirt	Tee_Hawaii_0	0	0	3	2
769	Shirt	Tee_Hawaii_1	0	0	3	2
770	Shirt	Screenshot_Contest_Top	0	0	3	2
771	Pants	Blueknight_Bottom	0	0	2	2
772	Shirt	Blueknight_Top	0	0	3	2
773	Hat	Blueknight_Helmet	0	0	2	2
774	Vest	Blueknight_Shoulders	0	0	2	1
775	Backpack	Blueknight_Cape	0	0	2	2
776	Pants	Skater_Bottom	0	0	2	2
777	Shirt	Skater_Top	0	0	3	2
778	Hat	Skater_Beanie	0	0	2	2
779	Backpack	Skater_Skateboard	0	0	2	2
787	Backpack	Squid_Backpack	0	0	2	2
788	Hat	Squid_Hat	0	0	2	2
789	Mask	Squid_Head	0	0	2	2
790	Pants	Squid_Pants	0	0	2	2
791	Shirt	Squid_Shirt	0	0	3	2
792	Vest	Squid_Vest	0	0	2	2
793	Hat	VampireHunter_Hat	0	0	2	2
794	Pants	VampireHunter_Pants	0	0	2	2
795	Shirt	VampireHunter_Shirt	0	0	3	2
796	Vest	VampireHunter_Vest	0	0	2	2
797	Backpack	HeadlessCape	0	0	2	2
798	Hat	HeadlessHood	0	0	2	2
799	Pants	HeadlessPants	0	0	2	2
800	Shirt	HeadlessShirt	0	0	3	2
801	Vest	HeadlessShoulders	5	4	2	2
802	Hat	PotionHead	0	0	2	2
803	Vest	SpiderFriend	0	0	2	2
804	Shirt	Tee_RocketMod	0	0	3	2
805	Backpack	Backpack_Aprix_1	0	0	2	2
806	Mask	Bandana_Aprix_1	0	0	1	1
807	Hat	Hat_Aprix	0	0	2	2
808	Pants	Aprix_Bottom	0	0	2	2
809	Shirt	Aprix_Top	0	0	3	2
810	Vest	Vest_Aprix_1	0	0	2	2
811	Backpack	Backpack_Bandit	0	0	2	2
812	Mask	Balaclava_Bandit	0	0	2	2
813	Hat	Hat_Gray_5	0	0	2	2
814	Pants	Gray_Bottom_4	0	0	2	2
815	Shirt	Gray_Top_4	0	0	3	2
816	Vest	Bullet_Belt	0	0	2	2
817	Pants	Eskimo_Bottoms	0	0	2	2
818	Hat	Eskimo_Hat	0	0	2	2
819	Shirt	Eskimo_Top	0	0	3	2
820	Backpack	SnowShoes	0	0	2	2
821	Pants	Yeti_Bottom	0	0	2	2
822	Shirt	Yeti_Top	0	0	3	2
823	Mask	Yeti	0	0	2	2
824	Hat	ChristmasSnowGlobeHat	0	0	2	2
825	Hat	ChristmasGingerbreadHouseHat	0	0	2	2
826	Hat	ChristmasIceCubeHat	0	0	2	2
827	Backpack	Snow_Sled	0	0	2	2
828	Vest	Seal_Pup	0	0	2	2
829	Vest	Mistletoe	0	0	2	2
830	Hat	Reindeer_Beanie	0	0	2	2
832	Mask	Minotaur_Horns	0	0	2	2
833	Hat	Medusa	0	0	2	2
834	Hat	Olive_Leaf_Crown	0	0	2	1
835	Shirt	Toga_Top	0	0	3	2
836	Hat	Hermes_Helmet	0	0	2	2
837	Backpack	Wings	0	0	3	2
838	Glasses	Pegasus_Horn	0	0	1	1
839	Backpack	Fleece_Cape	0	0	2	2
840	Vest	Kratos_Shoulder	0	0	1	1
841	Backpack	Artemis_Shield	0	0	2	2
842	Backpack	Harp	0	0	2	2
843	Hat	Zeus_Hair	0	0	2	2
847	Hat	Ireland_Revolution_Hat	0	0	2	2
848	Shirt	Ireland_Revolution_Top	0	0	3	2
849	Pants	Ireland_Revolution_Bottom	0	0	2	2
850	Hat	Ireland_Knight_Helmet	0	0	2	2
851	Vest	Ireland_Knight_Shoulder_Pad	0	0	2	1
852	Shirt	Ireland_Knight_Top	0	0	3	2
853	Pants	Ireland_Knight_Bottom	0	0	2	2
854	Shirt	Irish_Luck_Top	0	0	3	2
855	Pants	Irish_Luck_Bottom	0	0	2	2
856	Hat	Irish_Luck_Hat	0	0	2	2
857	Hat	Corinthian_Helmet	0	0	2	2
858	Backpack	AthensAprix_Quiver	0	0	2	2
859	Backpack	AthensRomanCloak	0	0	2	2
860	Hat	AthensAprix_Hood	0	0	2	2
861	Hat	AthensRomanHelmet	0	0	2	2
862	Mask	AthensAprix_Mask	0	0	2	2
863	Pants	AthensAprix_Bottoms	0	0	2	2
864	Pants	AthensRomanBottom	0	0	2	2
865	Shirt	AthensAprix_Top	0	0	3	2
866	Shirt	AthensRomanTop	0	0	3	2
867	Vest	AthensAprix_Vest	0	0	2	2
868	Vest	AthensRomanChestplate	0	0	3	2
869	Shirt	Carpat_Lastman_Shirt	0	0	3	2
870	Pants	Carpat_Lastman_Pants	0	0	2	2
871	Backpack	Carpat_Lastman_Backpack	0	0	2	2
872	Hat	Carpat_Lastman_Hat	0	0	2	2
873	Shirt	Carpat_Traditional_Shirt	0	0	3	2
874	Pants	Carpat_Traditional_Pants	0	0	2	2
875	Vest	Carpat_Traditional_Vest	0	0	2	2
876	Hat	Carpat_Traditional_Hat	0	0	2	2
877	Hat	FranceHistorical_Crown	0	0	2	2
878	Pants	FranceHistorical_Crusader_Bottom	0	0	2	2
879	Shirt	FranceHistorical_Crusader_Top	0	0	3	2
880	Hat	FranceHistorical_Helmet_Crusader	0	0	2	2
881	Hat	FranceHistorical_Helmet_Poilus	0	0	2	2
882	Backpack	FranceHistorical_Shield	0	0	2	2
883	Backpack	FranceMime_Baguette	0	0	2	2
884	Hat	FranceMime_Beret	0	0	2	2
885	Pants	FranceMime_Bottom	0	0	2	2
886	Vest	FranceMime_Scarf	0	0	2	2
887	Shirt	FranceMime_Top	0	0	3	2
888	Pants	FranceRULA_Bottom	0	0	2	2
889	Vest	FranceRULA_Harness	0	0	2	2
890	Hat	FranceRULA_Helmet	0	0	2	2
891	Shirt	FranceRULA_Top	0	0	3	2
919	Shirt	Jersey_Rainbow	0	0	3	2
920	Pants	HalloSkullBottom	0	0	2	2
921	Hat	HalloSkullHat	0	0	2	2
922	Mask	HalloSkullMask	0	0	2	2
923	Shirt	HalloSkullTop	0	0	3	2
924	Vest	HalloSkullVest	0	0	2	2
925	Vest	VolcanoKnightArmor	0	0	2	2
926	Pants	VolcanoKnightBottom	0	0	2	2
927	Backpack	VolcanoKnightCape	0	0	2	2
928	Hat	VolcanoKnightHelmet	0	0	2	2
929	Shirt	VolcanoKnightTop	0	0	3	2
945	Hat	EI_Explorer_Hat	0	0	2	2
946	Mask	EI_Make_Make	0	0	2	2
947	Mask	EI_Moai_Head	0	0	2	2
948	Mask	EI_Stormbrand	0	0	2	2
949	Shirt	EI_Tribal_Markings	0	0	3	2
950	Vest	EI_Explorer_Gear	0	0	2	1
951	Vest	EI_Stormbrand_Armor	0	0	2	1
952	Vest	EI_Shark_Tooth_Necklace	0	0	2	1
953	Hat	EI_King_Crab	0	0	2	2
954	Hat	EI_Edible_Arrangement	0	0	2	2
955	Hat	EI_Feather_Crown	0	0	2	2
956	Backpack	EI_Acoustic_Sash	0	0	2	2
957	Mask	EI_Fishbowl	0	0	2	2
958	Mask	EI_Diving_Helmet	0	0	2	2
960	Mask	DL_Volatile_Jaw	0	0	1	1
961	Vest	DL_Volatile_Chest	5	4	1	1
962	Shirt	PaintPalette_Contest_Top	0	0	3	2
963	Mask	BattlEye_Halo	0	0	2	1
1009	Hat	Beret_Desert	0	0	2	2
1010	Hat	Military_Helmet_Desert	0	0	2	2
1011	Shirt	Military_Top_Desert	6	3	3	2
1012	Pants	Military_Bottom_Desert	4	3	2	2
1013	Vest	Military_Vest_Desert	5	4	2	2
1014	Backpack	Leather_Pack	6	5	2	2
1015	Shirt	Biohazard_Top	5	2	3	2
1016	Pants	Biohazard_Bottom	5	2	2	2
1017	Mask	Biohazard_Hood	0	0	2	2
1044	Glasses	Nightvision_Civilian	0	0	2	1
1048	Mask	Mask_Hockey	0	0	2	2
1133	Vest	Scarf_Black	5	3	2	2
1134	Vest	Scarf_Blue	5	3	2	2
1135	Vest	Scarf_Green	5	3	2	2
1136	Vest	Scarf_Orange	5	3	2	2
1137	Vest	Scarf_Purple	5	3	2	2
1138	Vest	Scarf_Red	5	3	2	2
1139	Vest	Scarf_White	5	3	2	2
1140	Vest	Scarf_Yellow	5	3	2	2
1141	Hat	Beret_Crimson	0	0	2	2
1142	Hat	Beret_Gold	0	0	2	2
1156	Shirt	Thief_Top	7	3	3	2
1157	Pants	Thief_Bottom	6	3	2	2
1168	Vest	Vest_Civilian	4	3	2	2
1169	Vest	Vest_Spec_Ops	6	3	2	2
1170	Backpack	Pack_Spec_Ops	8	5	2	2
1171	Shirt	Spec_Ops_Top	6	2	3	2
1172	Pants	Spec_Ops_Bottom	4	2	2	2
1173	Vest	Makeshift_Vest	3	2	2	2
1178	Backpack	Diving_Tank	2	4	1	2
1179	Shirt	Diving_Top	5	2	3	2
1180	Pants	Diving_Bottom	5	2	2	2
1181	Glasses	Diving_Snorkel	0	0	2	2
1182	Backpack	Dufflebag_Black	7	4	2	2
1183	Backpack	Dufflebag_Blue	7	4	2	2
1184	Backpack	Dufflebag_Green	7	4	2	2
